,loss,mae,val_loss,val_mae
0,905.7469482421875,23.877891540527344,681.5571899414062,20.742515563964844
1,660.041748046875,21.26089859008789,605.384033203125,20.133739471435547
2,521.179443359375,18.659168243408203,452.4469299316406,16.921266555786133
3,428.0722351074219,16.013778686523438,412.6883544921875,15.503479957580566
4,343.6064758300781,14.18621826171875,388.0882568359375,14.485050201416016
5,285.55462646484375,12.561027526855469,420.16510009765625,14.2865571975708
6,236.37303161621094,11.406817436218262,390.47113037109375,15.07165241241455
7,216.46812438964844,10.779335021972656,371.71038818359375,13.272900581359863
8,169.7435302734375,9.249686241149902,373.72216796875,13.137164115905762
9,150.7681884765625,8.762669563293457,394.6644287109375,13.38476848602295
10,125.16155242919922,7.8037848472595215,386.0584716796875,14.1502103805542
11,101.86994934082031,6.876979827880859,368.4535827636719,13.091717720031738
