,loss,mae,val_loss,val_mae
0,769.8741455078125,21.882034301757812,663.6447143554688,20.041040420532227
1,545.0755615234375,18.941152572631836,488.2425842285156,16.776784896850586
2,417.1105041503906,15.869482040405273,404.8182373046875,14.69434928894043
3,364.3865661621094,14.501855850219727,376.995849609375,13.959110260009766
4,320.1184387207031,13.357617378234863,359.8775634765625,13.985899925231934
5,302.61480712890625,12.956620216369629,372.1392822265625,14.423234939575195
6,256.32806396484375,11.79486083984375,370.7491455078125,13.988739967346191
7,230.71859741210938,11.151339530944824,358.8890380859375,13.482582092285156
8,214.45278930664062,10.716259002685547,339.2095642089844,13.310033798217773
9,181.15953063964844,9.714810371398926,340.8676452636719,13.385995864868164
10,160.92970275878906,9.180203437805176,398.6484680175781,13.68897819519043
11,144.01776123046875,8.65980339050293,356.97698974609375,13.640118598937988
